Link Page,Items,Price,Discount,Sale Price
https://www.modanisa.com/en/black-modest-dress-in-style-8284430.html,Instyle - Black - Modest Dress - In Style,$ 109.99,35%,$ 71.49
https://www.modanisa.com/en/dusty-rose-modest-dress-ceylan-otantik-8118940.html,Ceylan otantik - Dusty Rose - Modest Dress - Ceylan Otantik,$ 109.99,35%,$ 71.49
https://www.modanisa.com/en/beige-modest-dress-in-style-8284432.html,Instyle - Button Down Aerobin Modest Dress Beige,$ 109.99,35%,$ 71.49
https://www.modanisa.com/en/brown-unlined-modest-dress-ceylan-otantik-8487968.html,Ceylan otantik - Ceylan Otantik Brown Modest Dress,$ 109.99,35%,$ 71.49
https://www.modanisa.com/en/camel-button-collar-unlined-modest-dress-instyle-8813411.html,Instyle - Camel - Button Collar - Unlined - Modest Dress - InStyle,$ 109.99,35%,$ 71.49
https://www.modanisa.com/en/mustard-modest-dress-instyle-8678957.html,Instyle - Mustard - Modest Dress - InStyle,$ 109.99,35%,$ 71.49
https://www.modanisa.com/en/bitter-unlined-modest-dress-ceylan-otantik-8487967.html,Ceylan otantik - Three Thread Fleece Hooded Sweat Dress Bitter Coffee Color,$ 109.99,35%,$ 71.49
https://www.modanisa.com/en/vintage-purple-plus-size-dress-alia-8896859.html,Alia - Vintage Purple - Plus Size Dress - Alia,$ 69.99,,$ 62.99
https://www.modanisa.com/en/black-white-fully-lined-fular-collar-plus-size-dress-alia-8737588.html,Alia - Black - White - Fully Lined - Fular collar - Plus Size Dress - Alia,$ 69.99,,$ 62.99
https://www.modanisa.com/en/camel-point-collar-unlined-modest-dress-ceylan-otantik-8568568.html,Ceylan otantik - 3 Thread Zipper Modest Dress Camel,$ 117.99,40%,$ 70.79
https://www.modanisa.com/en/cream-point-collar-unlined-modest-dress-ceylan-otantik-8568570.html,Ceylan otantik - Cream - Point Collar - Unlined - Modest Dress - Ceylan Otantik,$ 117.99,40%,$ 70.79
https://www.modanisa.com/en/gray-point-collar-unlined-modest-dress-ceylan-otantik-8568569.html,Ceylan otantik - Gray - Point Collar - Unlined - Modest Dress - Ceylan Otantik,$ 117.99,40%,$ 70.79
https://www.modanisa.com/en/khaki-point-collar-unlined-modest-dress-ceylan-otantik-8568574.html,Ceylan otantik - Khaki - Point Collar - Unlined - Modest Dress - Ceylan Otantik,$ 117.99,40%,$ 70.79
https://www.modanisa.com/en/point-collar-unlined-modest-dress-ceylan-otantik-8568573.html,Ceylan otantik -  - Point Collar - Unlined - Modest Dress - Ceylan Otantik,$ 117.99,40%,$ 70.79
https://www.modanisa.com/en/bitter-point-collar-unlined-modest-dress-ceylan-otantik-8568567.html,Ceylan otantik - Bitter - Point Collar - Unlined - Modest Dress - Ceylan Otantik,$ 117.99,40%,$ 70.79
https://www.modanisa.com/en/mink-modest-dress-sevitli-8800236.html,Sevitli - Mink - Modest Dress - Sevitli,$ 107.99,35%,$ 70.19
https://www.modanisa.com/en/brown-modest-dress-sevitli-8800244.html,Sevitli - Brown - Modest Dress - Sevitli,$ 107.99,35%,$ 70.19
https://www.modanisa.com/en/emerald-modest-dress-refka-8800573.html,Refka - Emerald - Modest Dress - Refka,$ 77.99,,$ 69.99
https://www.modanisa.com/en/orange-modest-dress-nergis-neva-8976646.html,Nergis neva - Orange - Modest Dress - Nergis Neva,$ 82.99,,$ 69.99
https://www.modanisa.com/en/beige-modest-dress-nergis-neva-8976647.html,Nergis neva - Beige - Modest Dress - Nergis Neva,$ 82.99,,$ 69.99
https://www.modanisa.com/en/blue-modest-dress-nergis-neva-8976650.html,Nergis neva - Blue - Modest Dress - Nergis Neva,$ 82.99,,$ 69.99
https://www.modanisa.com/en/green-modest-dress-nergis-neva-8976648.html,Nergis neva - Green - Modest Dress - Nergis Neva,$ 82.99,,$ 69.99
https://www.modanisa.com/en/fuchsia-modest-dress-nergis-neva-8976644.html,Nergis neva - Fuchsia - Modest Dress - Nergis Neva,$ 82.99,,$ 69.99
https://www.modanisa.com/en/baby-blue-modest-dress-nergis-neva-8976645.html,Nergis neva - Baby Blue - Modest Dress - Nergis Neva,$ 82.99,,$ 69.99
https://www.modanisa.com/en/black-modest-dress-nergis-neva-8976643.html,Nergis neva - Black - Modest Dress - Nergis Neva,$ 82.99,,$ 69.99
https://www.modanisa.com/en/mink-modest-dress-in-style-8172403.html,Instyle - Mink - Modest Dress - In Style,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/green-modest-dress-instyle-8543590.html,Instyle - InStyle Green Modest Dress,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/green-crew-neck-modest-dress-allday-8439562.html,Allday - Green - Crew neck - Modest Dress - ALLDAY,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/emerald-modest-dress-missvalle-8805991.html,Missvalle - Emerald - Modest Dress - MISSVALLE,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/gray-crew-neck-modest-dress-allday-8439592.html,Allday - Gray - Crew neck - Modest Dress - ALLDAY,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/bitter-modest-dress-instyle-8543580.html,Instyle - InStyle Bitter Modest Dress,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/blue-v-neck-collar-modest-dress-mizalle-8272033.html,Mizalle - Blue - V neck Collar - Modest Dress - MIZALLE,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/baby-blue-modest-dress-in-style-8046138.html,Instyle - Baby Blue - Modest Dress - In Style,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/tan-modest-dress-ensa-tesettur-8817333.html,Ensa tesettÃ¼r - Tan - Modest Dress - Ensa TesettÃ¼r,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/dusty-rose-modest-dress-missvalle-8805994.html,Missvalle - Dusty Rose - Modest Dress - MISSVALLE,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/colorless-modest-dress-gizce-8811043.html,GiÌzce - Colorless - Modest Dress - GÄ°ZCE,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/khaki-modest-dress-fahhar-8965073.html,Fahhar - Khaki - Modest Dress - Fahhar,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/colorless-modest-dress-gizce-8786684.html,GiÌzce - Colorless - Modest Dress - GÄ°ZCE,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/black-modest-dress-missvalle-8805990.html,Missvalle - Black - Modest Dress - MISSVALLE,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/pink-modest-dress-fahhar-8965066.html,Fahhar - Pink - Modest Dress - Fahhar,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/ecru-modest-dress-fahhar-8965059.html,Fahhar - Ecru - Modest Dress - Fahhar,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/brown-modest-dress-missvalle-8805992.html,Missvalle - Brown - Modest Dress - MISSVALLE,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/stone-color-button-collar-unlined-modest-dress-instyle-8902660.html,Instyle - Stone Color - Button Collar - Unlined - Modest Dress - InStyle,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/beige-modest-dress-missvalle-8805993.html,Missvalle - Beige - Modest Dress - MISSVALLE,$ 106.99,35%,$ 69.54
