Item,Price,ImageURL
"Dell PowerEdge R540 19"" 2U 8x 3,5"" LFF 2x Intel XEON Scalable LGA3647 DDR4 ECC Raid 2x PSU Server","Price excl. VAT:749,58 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r540-19-2u-8x-35-lff-2x-intel-xeon-scalable-lga3647-ddr4-ecc-raid-2x-psu-server.jpg
"Dell PowerEdge R840 19"" 2U 24x 2,5"" SFF 4x Intel XEON Scalable Gold Platinum LGA3647 48x DDR4 ECC Raid 2x PSU -CTO","Price excl. VAT:2.202,52 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r840-19-2u-24x-25-sff-4x-intel-xeon-scalable-gold-platinum-lga3647-48x-ddr4-ecc-raid-2x-psu-cto.jpg
"Dell PowerEdge R750xs 2U Server 8x 3,5"" LFF SAS 2x Intel XEON Scalable LGA4189 DDR4 ECC Raid 2x PSU +NEW+","Price excl. VAT:1.858,82 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r750xs-2u-server-8x-35-lff-sas-2x-intel-xeon-scalable-lga4189-ddr4-ecc-raid-2x-psu-new-20863.jpg
Dell M1000e 16x Blade Server Chassis Enclosure 6x 3000W PSU 9x FAN 2x MGMT,"Price excl. VAT:573,11 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-m1000e-16x-blade-server-chassis-enclosure-6x-3000w-psu-9x-fan-2x-mgmt.jpg
"Dell PowerEdge T330 8x 3,5"" LFF Intel XEON E3-1200 v5 PERC SAS SATA Raid vmware Tower Server -CTO-","Price excl. VAT:594,12 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-t330-8x-35-lff-intel-xeon-e3-1200-v5-perc-sas-sata-raid-vmware-tower-server-cto--12583.jpg
"Dell PowerEdge R930 19"" 4U 4x 2,5"" SFF 4x Intel XEON E7-4800 v3 v4 DDR4 ECC H730p Raid 4x PSU -CTO-","Price excl. VAT:521,85 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r930-19-4u-4x-25-sff-4x-intel-xeon-e7-4800-e7-8800-v3-v4-perc-h730-sas-sata-raid-hotswap-psu-vmware-hyper-v-11252.jpg
"Dell PowerEdge R940 19"" 3U 24x 2,5"" SFF 4x Intel XEON Scalable Gold Platinum LGA3647 48x DDR4 ECC Raid 2x PSU -CTO-","Price excl. VAT:2.202,52 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r940-19-3u-24x-25-sff-4x-intel-xeon-scalable-gold-platinum-lga3647-48x-ddr4-ecc-raid-2x-psu-cto--18008.jpg
"Dell PowerEdge R740xd2 2U Server 24x 3,5"" LFF SAS 2x Intel XEON Scalable LGA3647 DDR4 ECC Raid 2x PSU","Price excl. VAT:942,02 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r740xd2-2u-server-24x-35-lff-sas-2x-intel-xeon-scalable-lga3647-ddr4-ecc-raid-2x-psu-new.jpg
"Dell PowerEdge R750 2U Server 16x 2,5"" SFF SAS 2x Intel XEON Scalable LGA4189 DDR4 ECC Raid 2x PSU","Price excl. VAT:3.060,50 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r750-2u-server-16x-25-sff-sas-2x-intel-xeon-scalable-lga4189-ddr4-ecc-raid-2x-psu.jpg
"Dell PowerEdge FC630 Blade 8x 1,8"" USFF 2x Intel XEON E5-2600 v3 v4 H730p DDR4 SATA  vmware Server -CTO-","Price excl. VAT:41,18 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-fc630-blade-8x-18-usff-2x-intel-xeon-e5-2600-v3-v4-h730p-ddr4-sata-vmware-server-cto-.jpg
